id;merchant_id;open_account_pic;bank_id;for_corporate_bank_account_number;bank_branch;province_id;city_id;country_id;province;city;country;address;invoice_type;financial_contact_number
1;84609;array Licensed Concrete Sausages holistic;60167;Shirt PCI neural;compressing;49529;24176;29203;payment schemas zero administration;Lake Bianka;Guadeloupe;Investor Ameliorated;38331;Views
2;77665;bypassing;60939;transition Squares Tasty;maximize alarm eyeballs;89726;94003;15778;global grid-enabled Tunnel;Quitzonview;Thailand;deposit Incredible Rubber Soap Branch;6441;Virginia
3;78329;Philippine Peso Intelligent next generation;65370;Borders Denmark Handcrafted Wooden Chicken;global;85187;28885;24559;Specialist bus Gorgeous;South Carter;Cote d'Ivoire;projection;91467;Mississippi
4;31333;Shoes hard drive;24522;USB haptic Books;convergence;56800;95035;88393;PNG Maryland collaborative;Lake Julesland;Tuvalu;Steel even-keeled;74183;online Personal Loan Account interface
5;73161;Borders Avon;83851;Rustic Granite Chips upward-trending;turquoise;39513;21741;21094;e-commerce Cambridgeshire Savings Account;Port Alvisfurt;Iran;Trail;12087;Buckinghamshire
6;74517;Corporate Avon withdrawal;36357;optical invoice;pink transmitting;99965;85597;96400;Checking Account Ethiopian Birr;Reillyburgh;South Africa;supply-chains Reactive;37565;Macao Music
7;60870;Licensed Cotton Pizza synergistic Ergonomic Granite Computer;30230;Bedfordshire indigo withdrawal;Malta Meadow enterprise;70527;43650;47654;Operations Cambridgeshire;New Ryann;Macao;frictionless;57486;indexing Chair port
8;84523;Investment Account;41799;Pound Sterling archive Tunisia;Cheese Division Fresh;2533;97254;81777;quantify;East Concepcion;South Africa;Sausages Shoes TCP;37746;application pink
9;91181;Land dynamic;31955;SMTP ivory Bedfordshire;e-markets;63951;44610;45225;Bedfordshire;East Aishaland;Benin;silver;41240;Frozen transition Manager
10;42363;Mayotte Awesome;35767;indexing XML;unleash copying Ergonomic;38520;116;16780;Intranet orchid Ethiopian Birr;West Amari;New Caledonia;system-worthy open-source;30071;e-services
