id;pid;path;name;name_en;name_pinyin;level
1;26692;budgetary management Configuration middleware;violet Colombian Peso Unidad de Valor Real methodology;alliance Jamaica;Tactics cross-platform;62662
2;97;task-force Usability;Rustic Metal Hat hack Liberian Dollar;invoice;South Dakota blue Bermudian Dollar (customarily known as Bermuda Dollar);59323
3;7656;Cape;Ergonomic Wooden Gloves invoice;deliver;Guinea;45824
4;49731;initiatives Marketing;system Sausages Agent;deposit Pine holistic;Wisconsin;3710
5;7434;Berkshire;best-of-breed SDD;Mission Books Branding;customized connecting;67858
6;89278;extensible Money Market Account Netherlands Antillian Guilder;Security visualize bypass;infomediaries Egyptian Pound;Kenya;5367
7;33665;mobile Stream;Minnesota;partnerships;maroon synthesizing;98224
8;49264;Generic;back-end;Dong Down-sized;3rd generation bus;64608
9;39944;web services interface Malawi;JSON Licensed end-to-end;incubate;Consultant;64407
10;58067;Borders Borders applications;silver Handmade Concrete Salad Tala;Mississippi;payment Clothing;47191
