id;top;goods_id;banner_id;create_time;update_time
1;false;65560;29661;2020-05-19T14:48:11;2020-05-20T05:15:59
2;true;83133;1817;2020-05-20T04:39:33;2020-05-20T02:51:36
3;false;57106;75772;2020-05-20T14:33:43;2020-05-19T20:30:50
4;false;50354;75244;2020-05-20T06:10:32;2020-05-20T00:07:08
5;true;86011;34884;2020-05-20T12:45:36;2020-05-20T12:50:19
6;true;32828;95289;2020-05-20T06:55:32;2020-05-20T07:56:19
7;false;6015;78176;2020-05-19T17:46:43;2020-05-19T16:30:37
8;true;92788;96744;2020-05-20T09:53:09;2020-05-20T09:43:35
9;true;49913;45394;2020-05-20T09:57:42;2020-05-19T17:27:57
10;false;94281;96722;2020-05-19T21:37:09;2020-05-19T18:09:43
