id;name;sku_pic;sale_price;taxex_and_dues;market_price;cost_price;stock;weight;volume;delete_flag
1;Ergonomic ;Fully-configurable;40710;14206;70060;23098;76033;30541;36429;true
2;navigating;maroon Gloves Palladium;9372;3014;65513;54935;99526;6305;69059;false
3;protocol;deposit ivory Nebraska;52210;88089;35163;40916;6190;58965;14496;true
4;Handmade S;Avon;86764;10425;87199;38153;85341;40917;29663;false
5;synthesizi;haptic Stand-alone high-level;43879;71841;55364;2748;36038;64630;24275;false
6;Designer u;Intelligent Metal Soap Customer;58010;71275;95078;46592;3014;43918;42171;true
7;optical fi;International;89961;19404;86659;3416;94451;29707;69581;true
8;panel;Freeway;26254;87451;36702;59145;86968;5181;90793;false
9;cutting-ed;asymmetric;25575;41342;47161;63866;72472;85933;11061;false
10;1080p acce;Andorra;35263;803;7795;73251;70487;61627;11806;true
