id;region_id;region_name;parent_id;level
1;International Movies;Intelligent Wooden Gloves Jordanian Dinar;31515;56433
2;Usability;Managed;78617;74395
3;De-engineered;Centralized Springs;6104;10806
4;Personal Loan Account;override Refined;335;65970
5;PNG Steel California;Chief New York;13086;81352
6;transmitting GB Jewelery;benchmark Virginia bypassing;2397;14807
7;Circles Cambridgeshire;Division;71080;42670
8;withdrawal gold;embrace scale Licensed;26665;76181
9;Spring invoice Mexico;deposit;40705;59368
10;orange;Mouse pixel Iraq;1851;65463
