id;company_name;store_name;store_logo;merchants_check_in_info_id;operating_status;close_of_party;close_reason;close_time;open_time;close_of_who;open_of_who;category_id
1;Focused;grid-enabled Table global;Investment Account;26764;91808;84734;cross-platform;2020-05-12T20:25:48;2020-05-12T13:20:09;93338;36743;77188
2;Auto Loan Account copying bluetooth;connect;Garden interactive;77954;50719;52934;Pakistan Rupee JSON;2020-05-12T23:21:34;2020-05-13T02:10:49;17701;24409;24821
3;New Zealand Dollar;payment Soft;deposit transmitting Licensed Concrete Table;85850;78639;88833;IB conglomeration Faroe Islands;2020-05-12T16:09:54;2020-05-12T11:12:18;65715;88812;2097
4;asynchronous hack success;algorithm Northern Mariana Islands;transmit Automotive calculate;48286;51551;25509;Soap interface programming;2020-05-12T19:25:07;2020-05-12T12:17:58;75544;60121;82583
5;Home;Agent;Kansas;6611;29196;49827;Unbranded Fresh Chips white Bacon;2020-05-12T06:27:09;2020-05-12T09:56:28;84847;68892;79740
6;calculate Avon;transmitter;International pixel Practical Steel Sausages;29661;21038;41184;Chair;2020-05-13T01:09:08;2020-05-12T22:33:49;88392;1977;28671
7;California;generate algorithm;Fresh;74425;29118;39248;Fields;2020-05-12T20:31:44;2020-05-12T11:40:17;98640;44547;6289
8;solid state Bedfordshire lavender;Synchronised;TCP;42576;31876;13152;Checking Account;2020-05-12T22:34:16;2020-05-12T14:34:41;25697;12522;7809
9;Table Extension yellow;Open-architected;Soap panel dot-com;93100;57734;30057;Fantastic Massachusetts;2020-05-13T00:33:34;2020-05-12T09:50:22;11423;16470;18059
10;channels Cambridgeshire Automated;indexing Public-key;Beauty;93532;6600;70193;impactful 24/7 Chips;2020-05-13T03:39:50;2020-05-13T01:17:31;71874;29769;2719
