id;store_id;close_of_party;close_reason;close_time;open_time;close_of_who;open_of_who
1;38076;66662;channels Strategist;2020-05-13T13:02:42;2020-05-13T07:45:29;98513;18331
2;39955;69742;Lebanese Pound;2020-05-13T16:02:04;2020-05-13T18:47:58;7331;72168
3;12032;20471;withdrawal Electronics Balboa US Dollar;2020-05-13T22:50:00;2020-05-13T10:57:03;73855;62601
4;8070;29312;stable;2020-05-13T15:09:21;2020-05-13T23:45:18;90143;61900
5;99335;139;value-added core Chair;2020-05-13T21:55:38;2020-05-14T02:10:02;63437;86966
6;56460;79868;Baby;2020-05-13T07:53:36;2020-05-13T23:47:38;1074;43372
7;28133;33061;HDD Senior;2020-05-13T22:15:05;2020-05-14T02:26:30;25891;19729
8;83441;94156;Investment Account Innovative function;2020-05-13T09:58:44;2020-05-13T12:36:39;42671;74473
9;21318;87559;sky blue intangible;2020-05-14T00:46:34;2020-05-13T19:54:39;1426;54201
10;22645;83725;metrics;2020-05-13T16:44:21;2020-05-14T00:05:51;39886;81290
