id;store_id;top;create_time;update_time
1;Graphical User Interface Supervisor Denar;false;2020-05-19T13:27:38;2020-05-19T21:11:04
2;Car;false;2020-05-20T08:59:20;2020-05-19T16:13:35
3;Avon Berkshire workforce;true;2020-05-19T18:06:41;2020-05-20T10:59:16
4;Technician Illinois;true;2020-05-19T15:18:20;2020-05-20T03:21:57
5;Fantastic Soft Keyboard Small;false;2020-05-19T20:49:31;2020-05-19T15:56:04
6;generate optical Legacy;true;2020-05-20T07:09:35;2020-05-20T07:53:46
7;Checking Account;false;2020-05-19T20:52:31;2020-05-19T18:17:40
8;conglomeration;true;2020-05-20T10:14:57;2020-05-19T18:31:22
9;compressing Generic Frozen Computer;false;2020-05-20T13:10:07;2020-05-20T07:59:42
10;Directives;false;2020-05-20T04:32:02;2020-05-19T21:18:17
