id;merchant_id;shipping_region_type;warehouse_type;warehouse_area;warehouse_operators_number;daily_invoice_quantity;signed_delivery;shipping_software_name;contacts;telephone;address;shipments_and_returns_info_no_difference;open_independent_after_sales;return_warehouse_contact;return_warehouse_phone;province_id;city_id;country_id;province;city;country;return_warehouse_province_id;return_warehouse_city_id;return_warehouse_country_id;return_warehouse_province;return_warehouse_city;return_warehouse_country
1;24477;22669;95083;33373;63968;30835;Agent Practical;Tasty Fresh Chicken;Industrial;568.689.4569;Ergonomic Cotton Cheese Customer;true;true;Liaison;hacking;62500;517;34159;bi-directional extensible monetize;Marshallfort;Brazil;50842;32768;37992;Georgia;quantify;Centers Mall
2;67401;70333;35286;76425;42741;31617;Auto Loan Account circuit Bedfordshire;Clothing Money Market Account;Investment Account proactive;671-195-5724 x8464;back-end web-readiness paradigms;false;true;Coordinator Moroccan Dirham Fantastic;Track Berkshire copy;21380;87393;2531;Ergonomic CSS black;West Valentine;Oman;86519;60434;30129;Assimilated;integrate syndicate;plum
3;63549;71129;72495;65338;82211;78183;Alabama Money Market Account Money Market Account;Bond Markets Units European Composite Unit (EURCO);product payment strategic;(104) 788-9047;Kuwaiti Dinar Louisiana Strategist;true;true;Villages sensor Brand;TCP;57609;22208;64692;Orchard Won Shores;Corwinview;Cape Verde;69856;4606;11977;Automotive;syndicate;Practical mobile payment
4;66886;77245;57165;79547;31297;87919;withdrawal Planner lavender;green parse Pataca;Customer-focused;(208) 793-4869;Checking Account Land Investment Account;true;true;Republic of Korea Finland Small Metal Tuna;Refined Oval Checking Account;23180;93675;5232;secondary Frozen;Lake Cleveland;Rwanda;56795;29123;55400;Generic;generating;whiteboard capability
5;8445;30882;74799;62160;54281;27582;turquoise Rubber;artificial intelligence networks;matrix 24 hour directional;580-603-6443 x27691;Product;false;false;FTP;Mission Table;25761;65491;72894;Fantastic Soft Table Director contingency;Emmettshire;French Southern Territories;45417;85773;25205;Palestinian Territory orange;withdrawal port;solid state
6;37354;17472;62983;21745;66838;522;scalable Credit Card Account Malaysia;Shirt;Technician Burundi Franc Grocery;526.604.5743 x61449;Personal Loan Account optimizing;true;false;Ball;Analyst extend;97703;94505;22686;AGP;Marcelinaton;Kuwait;39842;67774;81113;cyan Checking Account;Unbranded;Avon
7;63973;92415;14850;59776;25470;1290;USB New Mexico;International capacitor;Planner Harbors;(682) 500-0871;AGP South Carolina;true;false;compelling lavender;Dynamic solution-oriented Sleek Steel Chips;99737;86121;68647;Practical;Loniefort;Mali;37190;31383;84215;coherent Refined JSON;Strategist Cambridgeshire;heuristic eyeballs
8;51357;91986;10951;96157;35393;58024;Organized Outdoors;envisioneer Mauritania;Grocery Movies Functionality;545-622-7442;neural Island Practical;false;true;Unbranded Checking Account calculating;Iowa;87069;6043;44816;facilitate;Rickchester;Austria;88289;22206;25512;Supervisor transform Cayman Islands;Quality protocol Borders;withdrawal
9;69095;8712;58579;59514;43874;2952;Ergonomic;recontextualize Ergonomic Concrete Bacon;bypass neural California;735.683.6480;Assurance streamline;false;false;Mobility;Massachusetts;58206;6716;47407;Uganda Shilling optical;Lake Daphneville;Holy See (Vatican City State);32249;16337;2468;Saint Lucia;Congolese Franc;networks program web-enabled
10;76838;27683;88348;37933;8830;99283;Sleek;Pizza;Fully-configurable Liaison;079.654.7429 x28738;Metal;true;false;Fantastic;generating engage vertical;47744;64281;58686;Tasty Cotton Chicken connect Cambridgeshire;Cindyhaven;Bangladesh;9948;5743;17698;Usability;Small Cotton Gloves;index
